hu_text,en_text_morph,morph_cost,time,hu_hyp_morph,morph_wer,morph_cer,morph_per
Fekete macska szaladt át az úton,texts transformed to oz tone,8.3025,11.021423214999999,A textek az állatokat az állatokra változtak.,1.0,1.0,1.4583333333333333
Nevetve futottunk végig az utcán,net eh foot franklin e brooklyn,7.79375,14.112290254000015,Net effort Franklin e Brooklyn.,1.0,0.75,1.2222222222222223
Kint fúj a szél bent meleg van,control ah student mel on,6.046190476190476,12.470306622999999,Kontrolla a studentmel an!,0.8571428571428571,0.5333333333333333,0.8695652173913043
Halkan csörög a telefon a zsebemben,hull con posts ah telephone ah when m ben,5.934761904761904,16.266667563,Hol kann poszt a telefon a wenben?,0.6666666666666666,0.42857142857142855,0.5357142857142857
csütörtökön délután a Nemzetközi Labdarúgó szövetség,sandstone own depends ah met cozy la transport sh,12.50607142857143,12.323723610999991,Szent Sztónón dependz a Metkazi Láttranszports.,1.0,0.6346153846153846,1.0666666666666667
budapesten mutatták be Gyenes Gábor lövés című képregényét,prospects outta transcripts constraints low it's expressed to,18.680681818181824,16.806584219,Prospects autotranskript Constraints Lowitz expressed 2.,1.0,0.7931034482758621,1.3125
az eseményen jelen volt a képregény alapjául szolgáló,oz attempt n yell n vault ah context allah full software,10.146666666666665,17.948879773000044,Az Attempt and Yellen volt a kontextel a full software.,0.875,0.5849056603773585,1.069767441860465
felé nyúlni és egy gyors és határozott mozdulattal,helpful knee sh edge george sh hot stronghold ta,10.347857142857144,16.604119728,"Helpful. Köszönöm, hogy megtaláltad. Szia!",1.0,0.8,0.9736842105263158
kinyomni a fenébe. Mert tapasztalataim szerint nincs,key for knee ah find bed met transplant transplant since,13.590000000000002,19.007543338000005,Ki forni a fine bedmet transplant transplant szins?,1.0,0.5576923076923077,2.5
pótselejtezők menetrendjét A négyszeres aranyérmes,craigslist says meant end yet princess eh craftsmen,12.798333333333336,20.15285221299996,Craigslist miatt és mégis láthatod az egész képességet.,1.6,0.92,1.5714285714285714
a walesi bosnyák továbbjutója otthonában harcolhatja,english e transcripts you ya strong bon hot hot ya,10.983712121212124,15.023727774000008,az epizódja francia.,1.0,0.8076923076923077,0.9767441860465116
akkor az esetek többségében érdemes gyorsan a távirányító,rock co oz et exports ben m eh george on ah transports,12.21916666666667,21.23341698099989,"Vencsi. Kbaneresi. ésyardani, azShebanggyrehewn. De a minden alternatív természetes assimilációs körüláticok számítják kutatni, hogy soros autot el itt bekutatna, és ez a minden ilyen új izolatú úgygodon esik kiidanek.",3.5,3.280701754385965,0.9782608695652174
Olaszország Észak Írországot fogadja majd,placements transformed ought ford ya mind,11.11916666666667,12.72973406600022,Placements transformed Ottford-Yao Mind.,1.0,0.7073170731707317,1.21875
amely a kilencvenes évek vérben és erőszakban fürdő,transcripts eh check of ben questions bon food,12.655681818181822,17.010846782000044,Transkripci Csehkaf Ben questions Bon Food.,1.0,0.7450980392156863,1.2142857142857142
maffia működéséről és brutalitásáról,script code shall sh translates all,9.749166666666667,6.226629449000029,"...script, code shall translates all"".",1.25,0.8611111111111112,1.2424242424242424
