hu_text,en_text_dp,dp_cost,en_text_gemini,hu_hyp_dp,dp_wer,dp_cer,dp_per,hu_hyp_gm,gm_wer,gm_cer,gm_per
Mit sütsz kis szűcs,meet sh key sh so a a,6.188000000000001,Midge shoots keys suit,Micskiszoa.,1.0,0.631578947368421,0.8333333333333334,Micsutski szűt.,1.0,0.4210526315789473,0.8333333333333334
Sárga bögre görbe bögre,sh a a bow a eh oh bed bow a eh,13.602,Shark a bugger goer bay bugger,"se a bo, a hobbid boj.",1.5,0.6956521739130435,1.3,sarka bugger górbe bugger,1.0,0.391304347826087,0.9
Fekete bikapata kopog a patika pepita kövezetén,effect eh be keep takes op aw optic pep it cove as et in,14.152,Fuck at a big cup at a cop Hogg a patteek a pep eat a cove a set tame,Egy effekt ehebbi képték szápal optik pepet kaveszet in.,1.2857142857142858,0.6595744680851063,0.8048780487804879,"Fakk át a big kapp át a kapphag, a pettik a peppit, a kavasz a tém.",2.142857142857143,0.6595744680851063,0.8292682926829268
Két pék két szép kék képet kér,act pick act speak kick pet co a a,13.123,Kate bake Kate safe cake cape it care,"Act, Pick, Act, Speak, Kick, Pet, Co, Ah",1.1428571428571428,0.8666666666666667,1.173913043478261,"Kétbik, kétszív, kétkétkér",1.0,0.4333333333333333,0.782608695652174
Jamaika a jamaikaiaké,you mm ye cute mm ye q e you co a,13.819,Jam I cut a jam my cut yolks,"Győmi, kutos miék, ami új abban leheték tiéd whole yeh aw yeh tav刻 kilometer Ígatoire Tenni They won't do it Crick soulmam",7.333333333333333,5.142857142857143,4.0,Jami-katt a Jami-kattyolksz.,0.6666666666666666,0.6666666666666666,0.6086956521739131
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,said ou knee sh nice all sh nice all said ou mm been,12.976,Uh such you on knee sin chisel oh sin chisel all such you on barn,"Szerám mi, snájsz, ól snájsz, ól szerám bín!",1.3333333333333333,0.625,0.7941176470588235,"Ó, Szocsiúan, niszincsizl! Ó, szincsizl! Ó, Szocsiuan barn!",1.3333333333333333,0.6666666666666666,0.9411764705882352
Jobb egy lúdnyak két tyúknyaknál,your edge old kick think can all,14.934,Job egg loot knock Kate took knock null,Your edge old kick think can all.,1.4,0.75,1.318181818181818,Csabaeglutnak kétüknak nő.,1.0,0.53125,1.0909090909090908
Lali a lila ló elalél,lol e lee lol l a lol,8.267,Lolly a leela low Ella Layle,LOLILILOLOLOL,1.0,0.5714285714285714,0.7058823529411765,LOLIOLILALO LOL,1.0,0.4761904761904761,0.7058823529411765
Nem lehet a Márta másé mert a Márta már Tamásé,noel eh et mm that mm sh mm get mm that mm that mm sh a,23.363000000000007,Nem leave at a mart of my say mere at a mart a mar Tama say,"Nólihet m-dát-m-s, a m-get-m-dát-m-dát-m-s-e.",0.9,0.6956521739130435,0.6486486486486487,"Nem lév, et a mártaf mi szémér, et a márt a mártám a szé.",1.1,0.4565217391304347,0.4864864864864865
Gyűrűt újra fűz,budget you for is,11.217999999999998,You root oo re futz,Budget you for is... you for... for...,2.333333333333333,2.066666666666667,2.4166666666666665,"Jó rût, úr, rui Futz!",1.6666666666666667,0.8666666666666667,1.3333333333333333
Hány nyár,he a a a a a,8.92,Honey are,Jaaaa loudly,1.0,1.2222222222222223,2.5,"Honeybear A főcímdal készítette a feliratot. Ha szükséges, kapcsold be az angol feliratot is! A főcímdal készítette a feliratot. Ha szükséges, kapcsold be az angol feliratot is! A főcímdal készítette a feliratot. Ha szükséges, kapcsold be az angol feliratot is!",20.0,28.33333333333333,6.333333333333333
Tyúk és csibe,check sh ebay eh,4.404,Took ease cheap bay,"Cseksz, ebay.",1.0,0.8461538461538461,1.4444444444444444,Tökész csípbé!,1.0,0.6153846153846154,1.3333333333333333
Dzsinn ül a dzsámi előtt,e will a me l a a,10.76,Gin ooh la jammy Elliot,igalá még iglem,1.0,0.7916666666666666,1.0714285714285714,Csináljátok a feliratot!,0.8,0.7916666666666666,1.7857142857142858
Sárban szárad,sh bounce don't,8.452,Shar burn Tsar odd,...és lemerítette.,1.0,1.3076923076923077,1.7272727272727273,"Sárb, bőrntszar, ád.",1.5,0.8461538461538461,0.9090909090909092
Zsákban a zsemle,between m let,9.16,Sock barn a sham lay,between-em lett.,1.0,0.875,1.0,Szakbárna sem lej.,1.0,0.625,0.8333333333333334
