hu_text,en_text_morph,morph_cost,time,hu_hyp_morph,morph_wer,morph_cer,morph_per
Mit sütsz kis szűcs,meet shoot speaking,3.602,6.32807675600003,Még sükt szpiking!,1.0,0.6842105263157895,1.3333333333333333
Sárga bögre görbe bögre,transformed transformed,7.77,15.76156273099997,Transformed transformed.,1.0,0.8695652173913043,1.4
Fekete bikapata kopog a patika pepita kövezetén,textbooks postcards postcards contracts,16.61388888888889,24.76730644700001,"textbooks, postcards, postcards, contracts",1.0,0.851063829787234,1.2439024390243902
Két pék két szép kék képet kér,complaint support strengths,9.127500000000001,13.42997831699995,A kérdés segítségével.,1.0,0.7333333333333333,1.3043478260869565
Jamaika a jamaikaiaké,conflicts complex blocks,9.022777777777778,10.503656072000013,"konflikt, komplex blokk",1.0,0.9047619047619048,1.5217391304347827
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,ah springfield myself consists craftsman,13.218055555555557,15.65430914500007,"a határozott világom én, a hatálokoknak megy.",1.0,0.8541666666666666,1.5
Jobb egy lúdnyak két tyúknyaknál,y'all edge sentenced contexts,8.437916666666668,12.344398435999892,A-L-E-C-T-E-N-T-S-T kontext,1.0,0.875,1.5454545454545454
Lali a lila ló elalél,controls' presents,7.18625,6.971729720999974,"kontrolls, prezenc.",1.0,0.8571428571428571,1.6470588235294117
Nem lehet a Márta másé mert a Márta már Tamásé,themselves on instincts meant symptoms comment,14.725416666666671,16.43494048799994,Nagylókanál toámba lépkedik az általa.,1.0,0.7391304347826086,1.162162162162162
Gyűrűt újra fűz,jumped involves,5.62,7.571696985000017,Jumped involves.,1.0,1.0,2.0
Hány nyár,hands,3.21,1.060007584999994,HANDS,1.0,0.7777777777777778,1.3333333333333333
Tyúk és csibe,prescribed,3.681388888888889,6.769470179999644,KÖSZÖNTÖM!,1.0,0.9230769230769231,1.6666666666666667
Dzsinn ül a dzsámi előtt,simply springfield,6.241388888888889,5.175457998000184,cimply Springfield.,1.0,0.7916666666666666,1.5
Sárban szárad,sentenced odd,3.63125,3.3346571940001013,Szentincsdád!,1.0,0.7692307692307693,1.3636363636363635
Zsákban a zsemle,someone attempt,4.976666666666666,3.882199199000297,Szamon Attempt,1.0,0.625,1.0833333333333333
Egy nagy kertben,edge na kent ben,2.4299999999999997,3.274320262999936,Egy nakentben.,0.6666666666666666,0.3125,0.25
Őr űzi az ürgét,closed advanced,6.615714285714286,9.533919839000191,KÖSZÖNTÖZÖTÖNÖNK,1.0,1.0,1.9166666666666667
Két bögre teát kér,context central,6.575,9.170508242999858,Context Central.,1.0,0.8333333333333334,1.2666666666666666
A kórus a kocsma előtt áll,expect constraints,8.018571428571429,6.144790815999841,de képen átjárultatják a rendeződ�ként!,1.0,1.1923076923076923,1.8888888888888888
Szép zöld fű,subjects,3.39,4.842789529999891,Subjects.,1.0,0.9166666666666666,1.7777777777777777
Sütőtökből sütit süt,shoot talk prompted shoot,4.949000000000001,10.231155057999786,Shoot Talk prompted shoot.,1.3333333333333333,0.9,1.4444444444444444
Hidd el itt írok,his glimpse oak,4.235833333333333,5.576319599999806,His glimpse oak.,1.0,0.6875,1.0909090909090908
Vár a víz,involves,3.01,1.9430137960000593,Meről?,1.0,0.8888888888888888,1.4285714285714286
Füstöl a fűrész,football effects,4.426666666666667,8.505463131999932,football effects.,1.0,0.7333333333333333,1.6666666666666667
Gyúl a Gyertya,girlfriends,3.783333333333333,2.8465461900000264,Göröfréns.,1.0,0.9285714285714286,1.7777777777777777
Ég a lámpa,promptly,3.355,2.394290241000135,Promptly.,1.0,1.0,1.25
Csőből csöpög,transformed,3.7849999999999993,2.5312421519993222,Transzformed,1.0,1.0,2.1
Kő őrzi őzt,country east,4.745,7.4292108409999855,country east,1.0,0.9090909090909091,1.5555555555555556
