hu_text,en_text_dp,dp_cost,dp_time,en_text_gemini,gm_time,hu_hyp_dp,dp_wer,dp_cer,dp_per,hu_hyp_gm,gm_wer,gm_cer,gm_per
Fekete macska szaladt át az úton,effect m a council a towards to on,15.999999999999998,641,Fake cat a my chest got salad at as out on,1,Egy effektem a kányszalatóhoz tovább.,1.0,0.8125,0.875,"Fake cat on me chest got salad, at-as out on.",1.6666666666666667,0.78125,1.2916666666666667
Nevetve futottunk végig az utcán,never et eh foot aw inc very zoo when,14.517,831,Never there foo told nook vague egg as ot can,1,"Never add a fút, ahol inkvaríziuen.",1.2,0.8125,1.0,Never therefoo told noop veeg you egg assot can.,1.8,0.90625,1.1851851851851851
Kint fúj a szél bent meleg van,key not few still bent mm l seven,9.056000000000001,1124,Kent foo yass cell bend my leg van,1,"Ki natt fú, sztil bent mull szeven.",0.8571428571428571,0.5333333333333333,0.5217391304347826,"Kent fújjász, szelbend majd legván!",1.0,0.5333333333333333,0.7391304347826086
Halkan csörög a telefon a zsebemben,whole can oh oh tell f on web m ben,9.857000000000001,412,Hall can saw rug a telephone a zebra ben,1,hol kell a hotel Fonweben benn.,0.8333333333333334,0.6285714285714286,0.75,"Hall, can, saw, rug, a telephone, a zebra, ben",1.1666666666666667,0.6,0.75
csütörtökön délután a Nemzetközi Labdarúgó-szövetség,toe to oak owned look turn net met co ill bad a soviet a a a a,26.017000000000003,2820.525328311,shoot or taken day loot on a men set cause he lab the roof who sell with egg,0.7049223809999603,to to Okonista nemetko ilbàda jó,1.2,0.6730769230769231,0.8,"A magyar között vetektek és búzelgettek. Az emberi által nem letette a fejedbe,",2.6,1.1923076923076923,1.1555555555555554
budapesten mutatták be Gyenes Gábor lövés című képregényét,book deep eh ten mm put club edge n eh she ball low of she a mm kept eh little,28.918000000000006,3079.6364868440032,boot a pest and moo that took bay GNS gobble or low vase team you came peg and yet,0.7910978140025691,"Bukk-dip a tenaputklub edzső. Vajsi bal lol, afsi ám kepti littl.",1.375,0.8448275862068966,0.9375,"MUT, a pesten mu, that took bangs, Gobble or low vase, team, you came peg, and yet...",2.125,0.896551724137931,1.0625
az eseményen jelen volt a képregény alapjául szolgáló,is eh share menu l ever all take up eh a a a help you'll saw loyal a,24.782,2773.407507417003,as a semi and yell and Walt a came peg and a ball poacher saw will ago,0.7171047989977524,Iszi her sérmenől evrral-téga bárper. Also ti illej a használ és most egyszerben!,1.5,1.150943396226415,1.0232558139534884,"Az a szemény jel, és Walt, a kémpeg, és a bal pocsor szal, Will I Go. Oh, oh, oh well, oh, a szemény jel, és a bal pocsor szal, Will I Go.",3.75,1.9622641509433962,0.8604651162790697
felé nyúlni és egy gyors és határozott mozdulattal,fell plan issue edge jaw she she hit cause ought mm cause do little,19.003,3121.6712307909984,fella you'll knee and edge course and hot torched mood with all,1.1485330310024437,"Felplán, issue, edzs, gyors, isi hit, koz, atm, koz, do, little.",1.375,0.74,0.868421052631579,"Fel a jól, ne end edgcorse, and hot torched mood with all!",1.5,0.7,1.2894736842105263
kinyomni a fenébe mert tapasztalataim szerint nincs,key aw mm knee for n bed,4.309,667.3514030389924,key you'm knee a fen a bee. Mer top as tall at time say rent Ninch,1.0483200409944402,Kiom niforn bed.,1.0,0.8076923076923077,0.5714285714285714,"Ki jön, meg né, a fene bí. Mertap, es tall a tám, sze rent nincs.",2.0,0.5384615384615384,0.9285714285714286
pótselejtezők menetrendjét A négyszeres aranyérmes,up a l eh yet as co men et eh age turned choice eh eh she mentioned,24.627,2580.690992279,pot sell i'd take all men and ran jet a neck say race or on your mess,0.7040046870006336,Apali jetas komenet Ihaj tuhrnsar'ai she muzsesz,1.4,0.72,1.0952380952380953,"Pátszell, I take all men and ranjet, A nexe resor on your mess.",2.4,0.76,1.0
a walesi–bosnyák továbbjutója otthonában harcolhatja,of let she ball shocked aw beauty you ought on born he a all a a a a,26.81000000000001,2844.333445336999,a will a see boss neck toe with you toe jaw out home on bone harsh all hot jaw,0.7410439750019577,"A fletcsiból sakt, o beauty you are unborn, hiálala, alhaha.",1.8,0.8076923076923077,1.0930232558139534,"A Wille C. Boss nekto, with you toe jaw out home, on bone harsh all hot jaw.",3.2,0.8653846153846154,1.069767441860465
maffia működéséről és brutalitásáról,mm eu mm code she english boot lit national,21.069999999999997,2322.8285558200005,mafia muck or day sir all and brute elite Ozark,0.9589657230026205,Miumkodsi English Bootlet National.,1.0,0.8055555555555556,1.2727272727272727,"Méfia makkordé ször all, and brut alight Ozark.",2.0,0.6944444444444444,1.0606060606060606
Olaszország Észak Írországot fogadja majd,all saw specific a aw so ought performed you'd,23.081,1952.5321414670016,all a sauce sag knee sack ear sauce got fog add ya my,0.6900777310002013,"Alszó, a specifika alszó, ott performdjúd.",1.2,0.8292682926829268,1.25,Eddy Mc followed ms safety first.,1.2,0.9024390243902439,1.40625
amely a kilencvenes évek vérben és erőszakban fürdő,mm eh kill n of n eh she of eh cave ben share a so but friends a,26.008,2552.3823982839967,a my a key lens when s eve egg fair ban and air you sock bun further,0.8192949360018247,"Mehkilon hafen hasiaf. Kévben sér, a szóbat frenz.",1.0,0.6862745098039216,0.9523809523809523,"Ami aki lenz, wens ive eg fér ben, and érjú szakban förör.",1.5,0.5490196078431373,0.6428571428571429
maffia működéséről és brutalitásáról,mm eu mm code she english boot lit national,21.069999999999997,2322.8285558200005,mafia muck or day sir all and brute elite Ozark,0.9589657230026205,Miumkodsi English Bootlet National.,1.0,0.8055555555555556,1.2727272727272727,"Méfia makkordé ször all, and brut alight Ozark.",2.0,0.6944444444444444,1.0606060606060606
