hu_text,en_text_dp,dp_cost,en_text_gemini,hu_hyp_dp,dp_wer,dp_cer,dp_per,hu_hyp_gm,gm_wer,gm_cer,gm_per
Mit sütsz kis szűcs,meet she key so a a,7.5600000000000005,Midge suits kiss suits,"Micsiki, szoa.",1.0,0.5789473684210527,0.9166666666666666,"Mics, szüets, kis szüets!",0.75,0.5263157894736842,1.0
Sárga bögre görbe bögre,she a a bow a eh oh bed bow a eh,14.264,Shargh a bough gray gore bay bough gray,"Si-ah, ball! Ehhoh, bedba, eh! Most egy ki Josh Árderőrnél mint언ei játszott compldidit",3.25,3.260869565217391,1.05,Sár a balgré górbé balgré balgré górbé baló gré sár,2.5,1.4782608695652173,1.7
Fekete bikapata kopog a patika pepita kövezetén,effect eh be keep a take op aw petty keep eh pit co as et in,15.3265,Fuck a tear be cup a paw tie cope hog a paw tea car pay pea tar cur woe zay teen,"Efektévé képerték abba a peti képi, pitt kó eszedhen.",1.1428571428571428,0.6595744680851063,0.9024390243902439,"Fak a térbi kap a pati kopog, a pati karpé pitarker, wozétín!",1.5714285714285714,0.574468085106383,0.5853658536585366
Két pék két szép kék képet kér,act pick act speak kick pet co a a,13.081499999999998,Kate paid Kate save Kake ate care,"átpikát, spik, kikpet, ko, á",1.0,0.6666666666666666,0.8260869565217391,"Kék péd, kék szív, kék étkér.",0.8571428571428571,0.4,0.5652173913043478
Jamaika a jamaikaiaké,you mm ye cute mm ye q e you co a,13.6695,Jamaica a Jamaicans care,"Jó műkőt műk, hűkó!",1.3333333333333333,0.8095238095238095,1.0869565217391304,Jamaica a Jamaicans care.,1.0,0.42857142857142855,0.6086956521739131
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,said to knee she nice all she nice all said to mm been,15.411,A set chew on knee sheen chisholm low sheen chisholm soul set chew on bun,"Szedtök ni, sinájszal, sinájszal, szedtöm bín.",1.0,0.6041666666666666,0.9117647058823529,"A szechuan 2 sín csisom, ló sín csisom, szol szechuan, bann.",1.6666666666666667,0.4375,0.5882352941176471
Jobb egy lúdnyak két tyúknyaknál,your edge old kick think can all,14.907000000000002,Job ache loot knock Kate to k-nack nile,Your Edge Old Kick Think Can All.,1.4,0.75,1.3181818181818181,Csaba csi lut! Nakk két! Töknek nál!,1.4,0.625,1.1363636363636365
Lali a lila ló elalél,lol e lee lol l a lol,8.253499999999999,Lolly a lilac low a lull ale,mort leh né mi a do Zene NAMASTE,1.4,1.0952380952380953,1.8823529411764706,"Lólia, laek, lo, a lólél.",1.0,0.6190476190476191,0.6470588235294118
Nem lehet a Márta másé mert a Márta már Tamásé,m let et mm that mm she mm get mm that mm that mm she a,24.402,Name a lot a Martha maw say mare a Martha mar ta marsh say,"Malettet, met machine, get vetm, vetm sí.",1.0,0.717391304347826,0.972972972972973,NAME A LOT A MÁRTHA MÁR SZÉMÉR A MÁRTHA MÁR TAMÁRS SZÉ.,0.9,0.41304347826086957,0.4864864864864865
Gyűrűt újra fűz,budget you friends,11.209,Your root aura fuse,Budget You Friends!,1.0,1.0666666666666667,2.0,Jó rútbőr a fűz!,1.3333333333333333,0.6,0.8333333333333334
