hu_text,en_text_dp,dp_cost,en_text_gemini,hu_hyp_dp,dp_wer,dp_cer,dp_per
Mit sütsz kis szűcs,meet should key so a a,6.890000000000001,,mit csinálsz? mindkét játék fűzió . . . egész olyat hanem egy kir<|tl|> kívül a denk játék excelent mindig találkozom minden jużós rereagar le volna magába megsllomájuk le van egy gyűnö È ű Hunci,8.25,9.421052631578947,12.0
Sárga bögre görbe bögre,she a job oh a as oh bed both when,14.879999999999999,,"Si a djabo? Ah, szóval, bedbófwen.",1.5,1.1304347826086956,1.05
Fekete bikapata kopog a patika pepita kövezetén,effect be cup ah to co paul up ah to ca pair p to co as et in,9.219000000000001,,Egy effekt bekap a kó kopalap a tokapér pitukoesetben.,1.1428571428571428,0.6808510638297872,0.8292682926829268
Két pék két szép kék képet kér,act pick act speak co keep et co a a,13.754,,Egy átpikát szpik koki pit kóá.,1.0,0.6,0.9565217391304348
Jamaika a jamaikaiaké,ya ma year ca ah ya ma year ca year ya co a,5.555999999999999,,"Ja mélyérke, ja mélyérke, érj a kó!",2.0,1.1904761904761905,0.9130434782608695
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,ah said a soon issue nice all she nice all said to mm been,14.081999999999999,,"A szed a szül is you nice, all she nice, all said Tom Bean.",2.1666666666666665,0.8333333333333334,1.1764705882352942
Jobb egy lúdnyak két tyúknyaknál,your edge old ah kick cannot can all,12.611,,Your age old kick cannot can all.,1.4,0.75,1.3636363636363635
Lali a lila ló elalél,law lee ah lee law let law lol,3.2910000000000004,,"Lali, ahli lal, lett lal ló.",1.2,0.5714285714285714,0.35294117647058826
Nem lehet a Márta másé mert a Márta már Tamásé,m let et ah mm tom she men tom tom tom she a,15.773999999999997,,"Millett Edehom, Tam símen, Tam, Tam, Tam sí.",1.0,0.6304347826086957,0.7297297297297297
Gyűrűt újra fűz,budget you ah phase,9.011,,Budget-ua Féz.,1.0,0.7333333333333333,1.25
Hány nyár,he known a a,6.92,,Kínón E,1.0,0.7777777777777778,2.0
Tyúk és csibe,check she e bed,5.04,,Csekszsé bed.,1.0,0.8461538461538461,1.1111111111111112
Dzsinn ül a dzsámi előtt,e law me l a a,7.800000000000001,,Ilaomila.,1.0,0.75,0.7142857142857143
Sárban szárad,she been solid,6.237,,si bínsz szalid!,1.5,0.6923076923076923,0.8181818181818182
Zsákban a zsemle,is been ah m let,5.337,,ez bármely hallgatás.,1.0,1.0625,1.8333333333333333
Egy nagy kertben,edge not jack said ben,3.515,,Egygenotjax א-bn-e,1.0,0.8125,0.9166666666666666
Őr űzi az ürgét,because tonight,10.09,,mert ma...,1.0,0.9333333333333333,1.1666666666666667
Két bögre teát kér,act both et as take a a,10.113999999999999,,Egy-kettőt is megcsináltuk.,1.0,1.1666666666666667,1.4
A kórus a kocsma előtt áll,walk push ah co ma l a a a a,11.101999999999999,,"Walk, push a komolha. Állj vár!",0.8333333333333334,0.6923076923076923,0.8888888888888888
Szép zöld fű,suppose old for a,5.0840000000000005,,Csak lingering biennal...,1.0,1.9166666666666667,2.888888888888889
Sütőtökből sütit süt,shoot to oh a bill shoot it shoot,5.930999999999999,,"Sütő, wo, a bill süt, it süt.",2.3333333333333335,0.65,0.4444444444444444
Hidd el itt írok,he l e york,5.04,,híli jork.,1.0,0.75,0.8181818181818182
Vár a víz,of of is,4.609999999999999,,Alfáfész!,1.0,1.0,1.7142857142857142
Füstöl a fűrész,fish tall ah officer,6.645,,Fishtall Officer,1.0,0.7333333333333333,1.25
Gyúl a Gyertya,jail ah as each ah,4.912,,"Csélahez, Icsa!",1.0,0.9285714285714286,1.2222222222222223
Ég a lámpa,fall map ah,4.181000000000001,,falmápa,1.0,0.6,0.625
Csőből csöpög,believe hope oh a,8.0,,BELÍV HOPÓ!,1.0,0.8461538461538461,1.3
Kő őrzi őzt,because east,5.72,,mert az összes...,1.0,1.3636363636363635,1.6666666666666667
