hu_text,en_text_dp,dp_cost,en_text_gemini,hu_hyp_dp,dp_wer,dp_cer,dp_per,hu_hyp_gm,gm_wer,gm_cer,gm_per
Mit sütsz kis szűcs,meet she key so a a,7.5600000000000005,Mitt suits kiss suits,"Micsiki, szoa",1.0,0.5789473684210527,0.9166666666666666,"mint, hogy szújts, kess, szújts!",1.25,0.9473684210526315,1.5
Sárga bögre görbe bögre,she a below when oh bed both when,17.08,Sorry go bore grip bore,"Siabalóen, a bedbofwen.",1.0,0.782608695652174,1.2,SORRY GO BORE GRIP BORE,1.25,0.5217391304347826,0.9
Fekete bikapata kopog a patika pepita kövezetén,effect be keep to call paul a up stick pair p take oh as et in,19.046000000000003,Fake cat a be cut a cup a go cup a teak a pep it took us at him,"Hay e infect be keept to call Paul, ab upstick purp take a haz et in.",2.142857142857143,0.9361702127659575,1.048780487804878,2004. afraid of a flame,0.8571428571428571,0.8085106382978723,1.170731707317073
Két pék két szép kék képet kér,act pick act speak co keep et co a a,13.754,Kate pay Kate sip cake Cape it care,"Ákdpik, ákdszpik, kokipik, kowe.",1.0,0.7666666666666667,1.0434782608695652,"Két pé, két szép kék, képítkér.",0.5714285714285714,0.16666666666666666,0.13043478260869565
Jamaika a jamaikaiaké,you mm year cute mm year q e you co a,15.029,Jamaica a jump my key arc A,"Jó miért, két miért, kvinkó!",1.6666666666666667,1.0,1.2173913043478262,Jamaica a Jump Mickey Ark,1.3333333333333333,0.5238095238095238,0.6521739130434783
A szecsuáni síncsiszoló sínt csiszol Szecsuánban,said to issue nice all she nice all said to mm been,16.075,A set your knee sin chisel oh sin chisel on set your on bun,"Szedtő is júnájsz, all sínájsz, all szedtőm bíjn.",1.3333333333333333,0.6875,0.9117647058823529,"A szetjór ni szintcsizol, o szintcsizol, A szetjór an ban.",1.5,0.5625,0.8823529411764706
Jobb egy lúdnyak két tyúknyaknál,your edge old kick think can all,14.934,Job a loot knock Kate took knock null,Your Edge Old Kick Think Can All,1.4,0.71875,1.3181818181818181,"Csaba lút! Nakk két tüknak, nol!",1.0,0.59375,1.0454545454545454
Lali a lila ló elalél,lol e lee lol l a lol,8.267,Lolly allila low Ella lay you,Lolili-lolalol,1.0,0.5238095238095238,0.5882352941176471,"loli LLO LLLL A JEEEEEEJ gilawwwелю oOoOOOoOn pururdurdurudmldseghita meilmilyen (?) ki, ami elkapsz az életet.",2.8,4.428571428571429,4.411764705882353
Nem lehet a Márta másé mert a Márta már Tamásé,m let et mm that mm she mm get mm that mm that mm she a,24.524000000000004,Name lit a motor my say mare to motor my Tom RC,"Meletet vetm sínget, vetm, vetm sí.",1.0,0.6739130434782609,0.918918918918919,"Némlett a motormi szémér, te motormi, te Mark.",0.9,0.6086956521739131,1.0
Gyűrűt újra fűz,budget you for is,11.217999999999998,You route you wrap fuse,Budget eufóriusz.,1.0,0.9333333333333333,1.9166666666666667,uRoute uRapFuse,1.0,0.8,1.3333333333333333
Hány nyár,he a a a a a,8.92,Honey R,Jaja!,1.0,1.0,1.6666666666666667,vizsgős administrative bullshit,1.5,3.111111111111111,5.166666666666667
Tyúk és csibe,check she e bed,5.04,Took age cheese bay,Csak sír bed!,1.0,0.7692307692307693,1.1111111111111112,"Tök ég, csizd be!",1.3333333333333333,0.6153846153846154,0.8888888888888888
Dzsinn ül a dzsámi előtt,e will a me l a a,10.76,Gene wool a jumpy you loot,Én valami látom.,1.0,0.75,1.2142857142857142,Jean Wall a Jumpy Lute,0.8,0.7083333333333334,1.6428571428571428
Sárban szárad,she but a instead,10.52,Sharbon sir odd,Si-bat-E insted.,1.0,0.8461538461538461,1.1818181818181819,Sárbanszor ad.,1.0,0.3076923076923077,0.18181818181818182
Zsákban a zsemle,between m let,9.16,Sock bun a some lay,between-em let.,1.0,0.875,1.0,szakban a szemlej.,0.6666666666666666,0.4375,0.5833333333333334
