hu_ngram,n,en_word,en_pron,cost,count
et,1,et,ɛ t,0.16,1794
el,1,l,ɛ l,0.16,1425
en,1,n,ɛ n,0.16,858
em,1,m,ɛ m,0.16,600
ot,1,ought,ɔ t,0.16,415
ed,1,ed,ɛ d,0.16,329
in,1,in,ɪ n,0.16,293
ol,1,all,ɔ l,0.16,279
egy,1,edge,ɛ dʒ,0.16,231
it,1,it,ɪ t,0.16,135
il,1,ill,ɪ l,0.16,79
esz,1,'s,ɛ s,0.16,67
iz,1,is,ɪ z,0.16,63
im,1,im,ɪ m,0.16,58
ef,1,f,ɛ f,0.16,40
id,1,id,ɪ d,0.16,34
if,1,if,ɪ f,0.16,19
of,1,off,ɔ f,0.16,11
lo,1,law,l ɔ,0.16,8
so,1,shaw,ʃ ɔ,0.16,7
i'm,1,im,ɪ m,0.16,1
szo,1,saw,s ɔ,0.16,1
ni,1,knee,n i,0.235,850
ki,1,key,k i,0.235,682
mi,1,me,m i,0.235,41
vi,1,v,v i,0.235,35
fi,1,fee,f i,0.235,34
ti,1,t,t i,0.235,31
hi,1,he,h i,0.235,30
li,1,lee,l i,0.235,26
di,1,d,d i,0.235,23
iv,1,eve,i v,0.235,21
bi,1,be,b i,0.235,17
si,1,she,ʃ i,0.235,12
ity,1,each,i tʃ,0.235,11
pi,1,p,p i,0.235,11
qu,1,coup,k u,0.235,8
tu,1,to,t u,0.235,8
szi,1,see,s i,0.235,5
zi,1,z,z i,0.235,3
.hu,1,who,h u,0.235,2
su,1,shoe,ʃ u,0.235,2
by,1,be,b i,0.235,1
du,1,do,d u,0.235,1
hu,1,who,h u,0.235,1
ji,1,ye,j i,0.235,1
ju,1,you,j u,0.235,1
ku,1,coup,k u,0.235,1
my,1,me,m i,0.235,1
nu,1,new,n u,0.235,1
qi,1,key,k i,0.235,1
szu,1,sue,s u,0.235,1
fel,1,fell,f ɛ l,0.24,668
nek,1,neck,n ɛ k,0.24,635
ben,1,ben,b ɛ n,0.24,602
tel,1,tell,t ɛ l,0.24,202
min,1,min,m ɪ n,0.24,138
men,1,men,m ɛ n,0.24,122
tek,1,tech,t ɛ k,0.24,109
let,1,let,l ɛ t,0.24,89
ten,1,ten,t ɛ n,0.24,76
kol,1,call,k ɔ l,0.24,66
szen,1,sen,s ɛ n,0.24,63
don,1,dawn,d ɔ n,0.24,62
von,1,von,v ɔ n,0.24,52
sel,1,shell,ʃ ɛ l,0.24,50
den,1,den,d ɛ n,0.24,49
del,1,del,d ɛ l,0.24,43
son,1,sean,ʃ ɔ n,0.24,37
tok,1,talk,t ɔ k,0.24,37
bel,1,bell,b ɛ l,0.24,35
szel,1,sell,s ɛ l,0.24,34
pil,1,pill,p ɪ l,0.24,33
fut,1,foot,f ʊ t,0.24,32
tol,1,tall,t ɔ l,0.24,32
pol,1,paul,p ɔ l,0.24,31
ken,1,ken,k ɛ n,0.24,28
szed,1,said,s ɛ d,0.24,27
hol,1,hall,h ɔ l,0.24,25
hit,1,hit,h ɪ t,0.24,23
ex,1,x,ɛ k s,0.24,20
fed,1,fed,f ɛ d,0.24,20
tin,1,tin,t ɪ n,0.24,20
met,1,met,m ɛ t,0.24,19
pen,1,pen,p ɛ n,0.24,19
szin,1,sin,s ɪ n,0.24,19
net,1,net,n ɛ t,0.24,18
mil,1,mill,m ɪ l,0.24,17
poz,1,pause,p ɔ z,0.24,15
szek,1,sec,s ɛ k,0.24,14
tim,1,tim,t ɪ m,0.24,14
dek,1,deck,d ɛ k,0.24,13
lesz,1,less,l ɛ s,0.24,13
til,1,till,t ɪ l,0.24,13
buk,1,book,b ʊ k,0.24,12
dip,1,dip,d ɪ p,0.24,12
gyen,1,gen,dʒ ɛ n,0.24,12
mik,1,mc,m ɪ k,0.24,12
hel,1,hell,h ɛ l,0.24,11
fil,1,fill,f ɪ l,0.24,10
bol,1,ball,b ɔ l,0.24,9
det,1,debt,d ɛ t,0.24,9
kosz,1,cos,k ɔ s,0.24,9
suk,1,shook,ʃ ʊ k,0.24,9
bul,1,bull,b ʊ l,0.24,8
misz,1,miss,m ɪ s,0.24,8
eksz,1,x,ɛ k s,0.24,7
kim,1,kim,k ɪ m,0.24,7
szet,1,set,s ɛ t,0.24,7
bet,1,bet,b ɛ t,0.24,6
bil,1,bill,b ɪ l,0.24,6
end,1,end,ɛ n d,0.24,6
mol,1,mall,m ɔ l,0.24,6
pet,1,pet,p ɛ t,0.24,6
